Vuosi,Kk,Pv,Klo,Aikavyöhyke,Ilman lämpötila (degC)
2020,1,1,00:00,UTC,2.3
2020,1,2,00:00,UTC,4.3
2020,1,3,00:00,UTC,5.1
2020,1,4,00:00,UTC,2.5
2020,1,5,00:00,UTC,-1
2020,1,6,00:00,UTC,2.1
2020,1,7,00:00,UTC,5
2020,1,8,00:00,UTC,5.7
2020,1,9,00:00,UTC,2.9
2020,1,10,00:00,UTC,-1.5
2020,1,11,00:00,UTC,0.8
2020,1,12,00:00,UTC,5.5
2020,1,13,00:00,UTC,2.3
2020,1,14,00:00,UTC,3.8
2020,1,15,00:00,UTC,6.1
2020,1,16,00:00,UTC,5.5
2020,1,17,00:00,UTC,4.7
2020,1,18,00:00,UTC,3.9
2020,1,19,00:00,UTC,4
2020,1,20,00:00,UTC,3.7
2020,1,21,00:00,UTC,5.6
2020,1,22,00:00,UTC,1.7
2020,1,23,00:00,UTC,0.9
2020,1,24,00:00,UTC,2.1
2020,1,25,00:00,UTC,1.2
2020,1,26,00:00,UTC,3.5
2020,1,27,00:00,UTC,1.1
2020,1,28,00:00,UTC,3.4
2020,1,29,00:00,UTC,2
2020,1,30,00:00,UTC,2
2020,1,31,00:00,UTC,2.2
2020,2,1,00:00,UTC,2.9
2020,2,2,00:00,UTC,4.1
2020,2,3,00:00,UTC,0
2020,2,4,00:00,UTC,-3.8
2020,2,5,00:00,UTC,-0.6
2020,2,6,00:00,UTC,-2.8
2020,2,7,00:00,UTC,-3
2020,2,8,00:00,UTC,1.3
2020,2,9,00:00,UTC,3.7
2020,2,10,00:00,UTC,4.1
2020,2,11,00:00,UTC,3.6
2020,2,12,00:00,UTC,3.1
2020,2,13,00:00,UTC,2.2
2020,2,14,00:00,UTC,-0.4
2020,2,15,00:00,UTC,2.4
2020,2,16,00:00,UTC,4
2020,2,17,00:00,UTC,5.3
2020,2,18,00:00,UTC,5.4
2020,2,19,00:00,UTC,4.3
2020,2,20,00:00,UTC,1.6
2020,2,21,00:00,UTC,3.5
2020,2,22,00:00,UTC,4.3
2020,2,23,00:00,UTC,4.1
2020,2,24,00:00,UTC,2
2020,2,25,00:00,UTC,-0.9
2020,2,26,00:00,UTC,-0.7
2020,2,27,00:00,UTC,-3
2020,2,28,00:00,UTC,-3.5
2020,2,29,00:00,UTC,-2
2020,3,1,00:00,UTC,2.2
2020,3,2,00:00,UTC,3.6
2020,3,3,00:00,UTC,2.6
2020,3,4,00:00,UTC,2.3
2020,3,5,00:00,UTC,3.3
2020,3,6,00:00,UTC,2.7
2020,3,7,00:00,UTC,1.4
2020,3,8,00:00,UTC,1.4
2020,3,9,00:00,UTC,4.1
2020,3,10,00:00,UTC,3.8
2020,3,11,00:00,UTC,3.5
2020,3,12,00:00,UTC,4.1
