Date,SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,LV,LT,AT,BE,DE-LU,FR,NL
01/01/2021,"27,37","26,17","26,17","26,17","36,24","26,25","48,40","48,40","26,10","26,10","26,10","25,65","25,65","22,67","36,24","36,24","36,24","48,40","48,40","48,40","48,40","48,40"
02/01/2021,"29,99","31,58","31,58","31,58","43,17","32,81","50,56","50,56","26,85","26,85","26,85","30,69","30,69","24,27","43,17","43,17","43,17","50,56","50,56","50,56","50,56","50,56"
03/01/2021,"25,77","25,78","25,78","25,78","27,31","25,83","28,45","29,97","25,78","25,78","25,78","25,78","25,78","21,98","31,64","31,64","31,64","40,93","43,03","38,62","47,10","49,77"
04/01/2021,"38,94","42,17","42,17","42,17","43,88","43,36","42,17","43,88","41,61","41,61","41,61","42,17","42,17","19,61","43,57","43,57","43,88","50,57","46,74","48,02","59,27","49,72"
05/01/2021,"43,75","47,29","47,29","47,29","47,29","47,29","47,28","47,29","46,02","46,02","46,02","47,29","47,29","20,08","47,29","47,29","47,29","57,29","63,39","55,34","63,85","50,39"
06/01/2021,"39,50","41,06","41,06","41,06","41,06","41,06","41,06","41,06","41,06","41,06","41,06","41,06","41,06","24,00","41,06","41,06","41,06","56,96","81,45","52,68","70,16","50,59"
07/01/2021,"63,48","67,63","67,63","67,63","67,63","67,63","67,69","68,19","67,41","67,41","67,41","67,63","67,63","28,36","67,63","67,63","67,63","73,25","67,23","70,93","82,10","63,84"
08/01/2021,"71,56","76,72","76,72","76,72","76,72","76,72","76,88","76,88","76,62","76,62","76,62","76,72","76,72","33,02","76,72","76,72","76,72","79,53","82,17","78,34","84,85","72,77"
09/01/2021,"51,27","52,03","52,03","55,38","56,34","55,38","58,27","58,33","55,18","55,18","55,18","41,32","41,32","34,61","55,38","55,38","56,34","59,58","61,00","59,32","60,60","57,99"
10/01/2021,"41,64","42,02","42,02","42,02","42,94","42,02","43,36","43,36","42,02","42,02","42,02","39,13","39,13","35,66","42,02","42,02","42,94","53,38","60,64","52,16","56,85","49,96"
11/01/2021,"41,40","41,15","41,15","41,56","42,11","42,87","41,77","42,28","41,60","41,60","41,60","41,15","41,15","40,00","49,63","49,63","49,63","52,90","59,09","48,15","67,69","45,58"
12/01/2021,"37,71","31,85","31,85","43,82","45,30","43,82","43,87","45,37","44,83","44,83","44,83","32,79","32,79","31,53","45,05","45,05","45,53","58,24","61,51","46,10","63,54","51,07"
13/01/2021,"42,29","40,69","40,69","42,10","42,10","51,08","42,10","42,10","42,10","42,10","42,10","40,69","40,69","37,40","52,84","52,84","52,84","61,08","68,56","42,47","73,85","57,62"
14/01/2021,"68,68","70,69","70,69","71,95","72,10","77,37","70,41","72,10","70,41","70,41","70,41","70,69","70,69","63,13","77,37","77,05","77,05","71,47","73,81","70,58","73,33","74,49"
